[-37.7490207, 144.9078992]
[55.6497969, 12.4198401]
[44.8011821, -68.7778138]
[-46.2242527, 169.7959438]
[46.53287235, 15.6069940857979]
[54.0871383, -0.1964511]
[51.4719078, -0.2458199]
[51.6487843, -0.1729127]
[0, 0]
[0, 0]
[56.1554304, -3.9485344]
[48.4773336, 3.9402348]
[19.2937147, -99.1403936]
[57.1290317, -2.09545986984169]
[56.0030195, -3.8879217]
[34.0635343, -118.4818635]
[53.5805396, -2.53566466666667]
[26.21591, -98.32529]
[53.8365209, -113.4123724]
[54.2839355, -3.37237992604252]
[50.0664631, 14.4562535]
[50.7447941, -1.85829083844613]
[56.0167128, -3.6086014]
[-33.8913889, 18.6194444]
[52.97682225, -0.0188374823522101]
[41.1622222, -8.64256304872796]
[51.3953654, -1.8127809]
[-37.8139299, 145.123762358612]
[55.9044088, -4.226358]
[45.2792255, 19.8080592]
[51.0804057, -4.0600467]
[42.705847, 23.3267978]
[20.5218353, -100.8140016]
[0, 0]
[45.430543, -75.5618723541488]
[51.0804057, -4.0600467]
[55.6092854, -2.763423]
[46.3593633, -63.4993171]
[51.3511768, -0.131213]
[37.9317766, -121.6960266]
[51.48808725, -0.302523929704623]
[0, 0]
[52.4823185, -2.1237803]
[50.8615394, -0.0836766637742433]
[0, 0]
[0, 0]
[41.638924, -87.5567108]
[54.0871383, -0.1964511]
[0, 0]
[40.2161518, 28.9132196026889]
[51.48625915, -2.58318368863849]
[37.9317766, -121.6960266]
[27.9383, -82.2901]
[53.8021123, -1.7767189]
[55.9339004, -3.484794]
[53.58050595, -2.29490271862565]
[0, 0]
[0.5, 32]
[51.4926788, 7.45179574145114]
[51.12663, 3.36524]
[0, 0]
[38, -3.5]
[49.1402096, -1.4739179]
[0, 0]
[0, 0]
[47.237953, 6.0243246]
[0, 0]
[52.669761, -8.623293]
[0, 0]
[0, 0]
[0, 0]
[0, 0]
[0, 0]
[42.43279445, 25.6152731416533]
[0, 0]
[37.97945, 23.71622]
[47.625811, -65.6525135]
[0, 0]
[-37.92633305, 145.054305485234]
[53.577694, -2.4288874]
[0, 0]
[42.15, 24.75]
[51.9647648, -0.4288464]
[51.8134807, 0.6348661]
[52.9891137, -1.04130786958978]
[51.7107439, -4.9197721]
[56.4650762, -2.8720119]
[52.8217955, -1.6268891411813]
[37.5558826, -78.5547172]
[41.7300345, -87.596714]
[0, 0]
[53.5933829, -2.8500883]
[0, 0]
[-33.8297104, 18.6330055]
[53.7889866, -2.23023461432665]
[56.0593442, -3.2331025]
[15.5, 101]
[0, 0]
[47.23135, 39.72328]
[53.2594074, -1.9100768]
[32.6228909, -100.4209401]
[44.0152334, 7.3198676]
[52.3390519, -2.05320169924462]
[43.21, 23.5625]
[31.14995, -81.49149]
[51.51228, -0.18829317246457]
[0, 0]
[52.2639962, 10.5252669]
[35.9445133, -84.9457863]
[51.4143513, -0.7449925]
[53.20571055, -6.10273495]
[51.1283378, -3.0037046]
[-32.9225, 151.7302778]
[51.25, -1.91667]
[37.97945, 23.71622]
[55.9339004, -3.484794]
[0, 0]
[-33.9385843, 18.408914]
[47.71034, 8.63388]
[15.5, 101]
[0, 0]
[33.5934531, -93.6885132]
[54.7525296, -6.0010911]
[58.7333088, 5.6503503]
[55.87329, -3.1051]
[51.03838345, 7.00216283100994]
[48.1511317, 11.5819237]
[51.7575804, -0.473868]
[51.36306285, 6.63206308750089]
[0, 0]
[53.2014604, -6.1105049]
[0, 0]
[19.3029794, -99.1504698525862]
[52.2033051, 0.124862]
[51.5744216, -0.0243765]
[0, 0]
[0, 0]
[40.416627, -80.0023317]
[55.8038642, -4.1783276]
[41.005598, -73.7278849]
[53.45482695, -2.16682534819445]
[52.6231598, -1.6620299]
[51.47284285, -3.20297400511367]
[43.6543093, -79.4235527]
[52.2033051, 0.124862]
[52.1884833, 0.1313984]
[55.9153078, -4.4096968]
[37.97945, 23.71622]
[38.83388, -104.82136]
[52.3827572, -6.4502682]
[0, 0]
[51.8500947, -8.294279]
[55.9413087, -4.72717084865556]
[-34.0636914, 150.8206159]
[-35.2819367, 149.128894]
[0, 0]
[51.3392845, -0.7460981]
[34.7, 137.85]
[42.6326971, -71.2993139]
[50.5166568, 2.5422531]
[50.84467705, -0.783114331619324]
[0, 0]
[25.9315618, -97.4387309]
[50.9407854, -1.4421911]
[52.4694408, -2.0906252]
[51.3713049, -0.101957]
[51.8244586, -2.4984934]
[0, 0]
[53.4620359, -109.273682]
[-5.67527045, 33.801495040644]
[44.14036675, 12.261881117319]
[51.599912, 0.1615162]
[51.3919236, -0.5036497]
[15.60609885, 32.5977596480781]
[0, 0]
[47.1801804, -1.1405447]
[40.86203, -74.54444]
[0, 0]
[51.4615884, -2.6202846]
[35.7580124, -81.5274278]
[0, 0]
[38.0967227, 13.5395736]
[55.9312303, -3.6580913]
[12.2185168, -69.0862994]
[42.5998139, -71.3672838]
[53.5500517, -2.1463508]
[51.5214755, -0.4444307]
[0, 0]
[0, 0]
[51.49858525, 11.9333339943715]
[51.4587621, -2.1159032]
[52.9320109, -3.056386]
[51.4816865, -0.191035076663461]
[51.7062914, -0.6123113]
[30.8775388, -82.1185847]
[53.6531979, -2.6294742]
[55.8405108, -3.9471954]
[55.9032583, -4.1021438]
[51.702052, -0.0335908]
[31.9668887, -81.0626008]
[51.7062914, -0.6123113]
[41.7411672, -7.4721312]
[42.999913, -77.4875259]
[53.1793212, -119.539833]
[0, 0]
[55.1315912, -6.671861]
[45.313752, 7.532214]
[0, 0]
[51.9179349, -2.11316910720061]
[51.5145109, -0.0892154]
[-43.530955, 172.6366455]
[37.97945, 23.71622]
[0, 0]
[0, 0]
[0, 0]
[42.69751, 23.32415]
[53.1463662, -1.5627975]
[42.7086411, -83.4396633]
